dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label,src,dst
11455,4,56607.0,58984494.0,180.0,857000000.0,181000000000.0,6.0,1943.0,9292.0,9682264.0,309.0,0.0,TCP,2,3845.0,1402.0,0.0,0.0,0.0,1.0,,
20356,3,6837.0,7171332.0,124.0,818000000.0,124000000000.0,5.0,4265.0,1337.0,143710.0,0.0,1.0,UDP,4,3726.0,1390.0,0.0,0.0,0.0,0.0,,
36775,2,11458.0,11791250.0,79.0,922000000.0,79000000000.0,2.0,4440.0,2518.0,253790.0,1.0,1.0,TCP,5,3075.0,1364.0,0.0,0.0,0.0,1.0,,
18982,10,75643.0,77373550.0,403.0,904000000.0,403000000000.0,5.0,13008.0,15126.0,1573444.0,357.0,0.0,ICMP,3,1438.0,1390.0,0.0,0.0,0.0,1.0,,
25386,9,1348.0,143022.0,7.0,1220000000.0,7000000000.0,4.0,948.0,143.0,1460.0,0.0,1.0,UDP,1,4352.0,1332.0,0.0,0.0,0.0,0.0,,
30477,4,30311.0,31470130.0,240.0,898000000.0,240000000000.0,4.0,948.0,3163.0,324544.0,2.0,1.0,TCP,4,3726.0,1390.0,0.0,0.0,0.0,1.0,,
38297,1,10.0,10500.0,,,,,,,,,,,,,,,,,,,
4,10.0.0.3,126075820.0,261.0,320000000.0,261000000000.0,6.0,1931.0,13532.0,14425112.0,451.0,0.0,UDP,3.0,4085.0,241982745.0,0.0,10289.0,10289.0,0.0,0.0,10.0.0.7,118270.0
3,10.0.0.8,92747280.0,190.0,532000000.0,191000000000.0,11.0,18351.0,13504.0,14745984.0,450.0,1.0,TCP,1.0,466233354.0,34059510.0,0.0,0.0,0.0,0.0,1.0,10.0.0.1,84580.0
4,10.0.0.8,35378.0,373.0,163000000.0,373000000000.0,5.0,2997.0,30.0,2940.0,1.0,1.0,ICMP,3.0,78411869.0,76686331.0,2404.0,2404.0,4808.0,0.0,1.0,10.0.0.2,361.0
5,10.0.0.3,18424.0,193.0,50000000.0,193000000000.0,13.0,4920.0,29.0,2842.0,0.0,1.0,ICMP,1.0,271210308.0,269132624.0,2.0,2.0,4.0,0.0,0.0,10.0.0.10,188.0
6,10.0.0.11,24292008.0,50.0,637000000.0,50637000000.0,2.0,558.0,13454.0,14341964.0,448.0,0.0,UDP,3.0,2882.0,2966.0,0.0,0.0,0.0,0.0,1.0,10.0.0.8,22788.0
6,10.0.0.12,20642024.0,43.0,320000000.0,43320000000.0,2.0,440.0,13388.0,14271608.0,446.0,0.0,UDP,3.0,2924.0,2882.0,0.0,0.0,0.0,0.0,1.0,10.0.0.7,19364.0
8,10.0.0.1,6166154.0,368.0,495000000.0,368000000000.0,5.0,18351.0,6911.0,400838.0,230.0,1.0,TCP,4.0,154614531.0,17693347.0,197.0,212.0,409.0,0.0,0.0,10.0.0.14,106313.0
4,10.0.0.7,5684.0,60.0,104000000.0,60104000000.0,7.0,1049.0,29.0,2842.0,0.0,1.0,ICMP,3.0,14693.0,2818631.0,0.0,748.0,748.0,0.0,1.0,10.0.0.3,58.0
2,10.0.0.4,134478032.0,280.0,693000000.0,281000000000.0,2.0,2242.0,13299.0,14176734.0,443.0,0.0,UDP,3.0,287898035.0,4663.0,0.0,0.0,0.0,0.0,1.0,10.0.0.8,126152.0
4,10.0.0.12,102505182.0,210.0,455000000.0,210000000000.0,11.0,18351.0,13311.0,14605422.0,443.0,1.0,TCP,1.0,7472632.0,6952436.0,0.0,0.0,0.0,0.0,0.0,10.0.0.1,93323.0
8,10.0.0.15,4937922.0,313.0,823000000.0,314000000000.0,5.0,10817.0,7992.0,431568.0,266.0,1.0,TCP,2.0,10402742.0,11501433.0,229.0,246.0,475.0,1.0,1.0,10.0.0.4,91443.0
1,10.0.0.7,18124548.0,66.0,412000000.0,66412000000.0,4.0,1057.0,7720.0,8044240.0,257.0,1.0,ICMP,2.0,18516650.0,1340.0,2161.0,0.0,2161.0,1.0,1.0,10.0.0.2,17394.0
6,10.0.0.8,7155460.0,424.0,901000000.0,425000000000.0,3.0,11471.0,7005.0,406290.0,233.0,1.0,TCP,1.0,5958041.0,160611220.0,0.0,100.0,100.0,1.0,1.0,10.0.0.13,123370.0
6,10.0.0.3,155747.0,,,,,,,,,,,,,,,,,,,10.0.0.5,14947.0
3688,2,2741.0,102345.0,123.0,811000000.0,124000000000.0,5.0,3201.0,1891.0,1019456.0,442.0,1,TCP,2,4133.0,83537.0,0.0,0.0,0.0,1.0,,
18096,9,39951.0,14598946.0,225.0,715000000.0,226000000000.0,6.0,4357.0,9164.0,531512.0,305.0,1,TCP,2,10414191.0,239750769.0,348.0,7846.0,8194.0,1.0,,
25707,2,20500.0,130090.0,359.0,724000000.0,360000000000.0,3.0,1057.0,29.0,2842.0,0.0,1,ICMP,2,4848.0,1312.0,0.0,0.0,0.0,0.0,,
7999,10,19076.0,142905.0,220.0,845000000.0,221000000000.0,4.0,4357.0,8756.0,507848.0,291.0,1,TCP,1,4610.0,5957140.0,0.0,127.0,127.0,1.0,,
9182,3,5086.0,91448.0,140.0,837000000.0,141000000000.0,7.0,1143.0,13153.0,14473386.0,438.0,1,TCP,4,178622938.0,8109552.0,8092.0,485.0,8577.0,0.0,,
17220,5,2095.0,323942.0,288.0,904000000.0,289000000000.0,9.0,4942.0,29.0,2842.0,0.0,1,ICMP,2,29061.0,24648.0,0.0,0.0,0.0,0.0,,
33753,7,25241.0,330084.0,179.0,851000000.0,180000000000.0,4.0,1943.0,7952.0,8285984.0,265.0,0,UDP,2,4022.0,1472.0,0.0,0.0,0.0,1.0,,
20862,6,13257.0,128739.0,313.0,868000000.0,314000000000.0,5.0,10817.0,16262.0,878148.0,542.0,1,TCP,1,5526.0,1472.0,0.0,0.0,0.0,1.0,,
14781,4,16098.0,153337.0,173.0,948000000.0,174000000000.0,3.0,8803.0,13499.0,14389934.0,449.0,0,UDP,1,4695.0,41998752.0,0.0,3839.0,3839.0,0.0,,
7731,10,23698.0,238873.0,357.0,867000000.0,358000000000.0,2.0,25224.0,19190.0,14953872.0,639.0,1,TCP,5,1269981973.0,990596183.0,20580.0,16577.0,20580.0,1.0,,
24356,3,18702.0,56986.0,104.0,821000000.0,105000000000.0,7.0,1143.0,13153.0,14473386.0,438.0,1,TCP,4,178622938.0,8109552.0,8092.0,485.0,8577.0,0.0,,
22221,7,27775.0,205664.0,351.0,861000000.0,352000000000.0,4.0,1943.0,7952.0,8285984.0,265.0,0,UDP,2,4022.0,1472.0,0.0,0.0,0.0,1.0,,
10894,4,9155.0,161437.0,120.0,921000000.0,121000000000.0,5.0,3201.0,1891.0,1019456.0,442.0,1,TCP,2,4133.0,83537.0,0.0,0.0,0.0,1.0,,
3912,7,3494.0,91774.0,373.0,846000000.0,374000000000.0,2.0,25224.0,19190.0,14953872.0,639.0,1,TCP,5,1269981973.0,990596183.0,20580.0,16577.0,20580.0,1.0,,
20705,10,14982.0,174530.0,197.0,919000000.0,198000000000.0,3.0,8803.0,13499.0,14389934.0,449.0,0,UDP,1,4695.0,41998752.0,0.0,3839.0,3839.0,0.0,,
29362,9,3678.0,106790.0,124.0,838000000.0,125000000000.0,5.0,3201.0,1891.0,1019456.0,442.0,1,TCP,2,4133.0,83537.0,0.0,0.0,0.0,1.0,,
3617,2,1718.0,104418.0,128.0,906000000.0,129000000000.0,6.0,4357.0,9164.0,531512.0,305.0,1,TCP,2,10414191.0,239750769.0,348.0,,,,,
3986,2,2560.0,144090.0,45.0,988000000.0,45000000000.0,7.0,2437.0,125.0,1820.0,0.0,1,ICMP,2,123674.0,121884.0,0.0,0.0,0.0,0.0,,
14093,3,2231.0,202518.0,37.0,788000000.0,37000000000.0,5.0,3235.0,30.0,2940.0,0.0,1,ICMP,2,123676.0,121884.0,0.0,0.0,0.0,0.0,,
2362,5,1599.0,159900.0,17.0,959000000.0,17000000000.0,7.0,2545.0,28.0,2744.0,0.0,1,ICMP,2,123678.0,121884.0,0.0,0.0,0.0,0.0,,
22231,9,1137.0,97968.0,22.0,874000000.0,22000000000.0,5.0,3142.0,30.0,2940.0,0.0,1,ICMP,2,123680.0,121884.0,0.0,0.0,0.0,0.0,,
37891,6,3287.0,257544.0,51.0,913000000.0,51000000000.0,7.0,2476.0,125.0,1820.0,0.0,1,ICMP,2,123682.0,121884.0,0.0,0.0,0.0,0.0,,
12091,2,1825.0,173500.0,20.0,955000000.0,20000000000.0,7.0,2593.0,28.0,2744.0,0.0,1,ICMP,2,123684.0,121884.0,0.0,0.0,0.0,0.0,,
29091,3,1501.0,141090.0,15.0,964000000.0,15000000000.0,7.0,2641.0,28.0,2744.0,0.0,1,ICMP,2,123686.0,121884.0,0.0,0.0,0.0,0.0,,
17091,4,1337.0,123700.0,13.0,967000000.0,13000000000.0,7.0,2689.0,28.0,2744.0,0.0,1,ICMP,2,123688.0,121884.0,0.0,0.0,0.0,0.0,,
38091,7,3053.0,244260.0,47.0,917000000.0,47000000000.0,7.0,2517.0,125.0,1820.0,0.0,1,ICMP,2,123690.0,121884.0,0.0,0.0,0.0,0.0,,
18091,1,1713.0,161300.0,18.0,956000000.0,18000000000.0,7.0,2541.0,28.0,2744.0,0.0,1,ICMP,2,123692.0,121884.0,0.0,0.0,0.0,0.0,,
19091,8,2939.0,235130.0,43.0,919000000.0,43000000000.0,7.0,2497.0,125.0,1820.0,0.0,1,ICMP,2,123694.0,121884.0,0.0,0.0,0.0,0.0,,
20091,5,1687.0,158700.0,19.0,957000000.0,19000000000.0,7.0,2585.0,28.0,2744.0,0.0,1,ICMP,2,123696.0,121884.0,0.0,0.0,0.0,0.0,,
21091,6,3121.0,249680.0,49.0,915000000.0,49000000000.0,7.0,2507.0,125.0,1820.0,0.0,1,ICMP,2,123698.0,121884.0,0.0,0.0,0.0,0.0,,
22091,4,1473.0,137300.0,14.0,966000000.0,14000000000.0,7.0,2677.0,28.0,2744.0,0.0,1,ICMP,2,123700.0,121884.0,0.0,0.0,0.0,0.0,,
23091,3,1579.0,147900.0,16.0,963000000.0,16000000000.0,7.0,2629.0,28.0,2744.0,0.0,1,ICMP,2,123702.0,121884.0,0.0,0.0,0.0,0.0,,
24091,2,1795.0,169500.0,19.0,955000000.0,19000000000.0,7.0,2581.0,28.0,2744.0,0.0,1,ICMP,2,123704.0,121884.0,0.0,0.0,0.0,1.0,,
25091,1,1873.0,177300.0,20.0,954000000.0,20000000000.0,7.0,2537.0,28.0,2744.0,0.0,1,ICMP,2,123706.0,121884.0,0.0,0.0,0.0,1.0,,
26091,7,3077.0,246260.0,48.0,916000000.0,48000000000.0,7.0,2513.0,125.0,1820.0,0.0,1,ICMP,2,123.0,,,,,,,
2588,1,1450.0,130158.0,8.0,33000000.0,8000000000.0,4.0,8.0,8.0,130158.0,63.0,0,UDP,3,3918.0,1439.0,0.0,0.0,0.0,0.0,,
4135,3,2195.0,144595.0,11.0,567000000.0,1167000000000.0,2.0,10.0,10.0,144595.0,60.0,1,TCP,2,6459.0,1439.0,0.0,0.0,0.0,1.0,,
19073,4,534.0,112621.0,17.0,845000000.0,1785000000000.0,7.0,11.0,11.0,112621.0,60.0,0,UDP,4,1439.0,1439.0,0.0,0.0,0.0,1.0,,
12491,10,260006.0,147128002.0,1881.0,999000000.0,1880000000000.0,17.0,25224.0,19190.0,14953872.0,639.0,1,TCP,3,1269981973.0,990596183.0,9473.0,9473.0,9572.0,0.0,,
4435,5,908.0,88984.0,933.0,280000000.0,933000000000.0,13.0,4920.0,29.0,2842.0,0.0,1,ICMP,1,183818836.0,47985976.0,4646.0,4646.0,9292.0,1.0,,
3089,2,79799.0,83150558.0,285.0,907000000.0,286000000000.0,6.0,4440.0,8683.0,9047686.0,289.0,0,UDP,4,4253.0,215596881.0,0.0,6110.0,6110.0,0.0,,
9287,7,47366.0,53268188.0,109.0,33000000.0,109000000000.0,5.0,1181.0,13269.0,14713066.0,442.0,1,TCP,3,7765084.0,176078946.0,167.0,3922.0,4089.0,1.0,,
17288,2,98268.0,102395256.0,345.0,913000000.0,346000000000.0,4.0,4440.0,9168.0,9553056.0,305.0,0,UDP,3,4337.0,245258119.0,0.0,2529.0,2529.0,0.0,,
34862,3,24374.0,25397708.0,79.0,566000000.0,79566000000.0,8.0,2053.0,9288.0,9678096.0,309.0,1,ICMP,2,191027546.0,80700684.0,2571.0,5146.0,7717.0,1.0,,
14365,1,28562.0,29761604.0,90.0,867000000.0,90867000000.0,5.0,1790.0,9446.0,9842732.0,314.0,0,UDP,3,139618793.0,3875.0,3838.0,0.0,3838.0,0.0,,
1769,8,18266.0,986364.0,30.0,967000000.0,30967000000.0,7.0,1143.0,17984.0,971136.0,599.0,1,TCP,5,2840632.0,64318612.0,171.0,3915.0,4086.0,0.0,,
42935,10,4000.0,399980.0,19.0,889000000.0,19889000000.0,5.0,25224.0,0.0,0.0,0.0,1,TCP,2,428829.0,220346.0,112.0,58.0,170.0,1.0,,
2488,1,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-130933.0,-146442594.0,-4365.0,0,UDP,1,2527.0,856.0,0.0,0.0,0.0,0.0,,
7128,3,776.0,76636.0,130.0,233000000.0,130000000000.0,3.0,1943.0,29.0,2842.0,0.0,1,TCP,1,4659.0,3488.0,0.0,0.0,0.0,1.0,,
11995,4,41394.0,6261858.0,259.0,419000000.0,259000000000.0,5.0,3021.0,8167.0,525074.0,272.0,1,ICMP,3,2503925.0,11932179.0,0.0,0.0,2.0,0.0,,
30042,5,95062.0,74559789.0,421.0,705000000.0,422000000000.0,7.0,7385.0,9891.0,9691642.0,329.0,1,UDP,1,135518338.0,142171720.0,173.0,333.0,2654.0,1.0,,
42035,4,53509.0,59385746.0,121.0,293000000.0,121000000000.0,7.0,12549.0,13111.0,14758006.0,437.0,1,TCP,1,5436.0,1312.0,0.0,0.0,0.0,0.0,,
30921,6,755.0,73990.0,773.0,221000000.0,773000000000.0,9.0,4942.0,29.0,2842.0,0.0,1,ICMP,3,406285435.0,135713477.0,2.0,2.0,4.0,0.0,,
11124,3,284.0,302744.0,0.0,837000000.0,837000000.0,2.0,558.0,0.0,0.0,0.0,0,UDP,1,3096.0,1032.0,0.0,0.0,0.0,0.0,,
41163,3,94683.0,104548982.0,213.0,320000000.0,213000000000.0,7.0,8050.0,13332.0,14772520.0,444.0,1,TCP,3,109047887.0,7477342.0,4297.0,438.0,4735.0,0.0,,
7512,9,870.0,85260.0,891.0,508000000.0,892000000000.0,5.0,3443.0,29.0,2842.0,0.0,0,ICMP,4,88522.0,88075.0,0.0,0.0,0.0,0.0,,
31063,4,99959.0,5397786.0,340.0,306000000.0,340000000000.0,5.0,3982.0,7806.0,421524.0,260.0,1,TCP,1,4938643.0,4594804.0,121.0,113.0,234.0,1.0,,
4517,5,212034.0,11449836.0,360.0,992000000.0,361000000000.0,3.0,1143.0,17944.0,968976.0,598.0,1,TCP,3,4797.0,1492.0,0.0,0.0,0.0,1.0,,
4517,5,105722.0,6131876.0,357.0,4000000.0,357000000000.0,3.0,1143.0,8972.0,520376.0,299.0,1,TCP,5,6532738.0,147122626.0,0.0,0.0,0.0,1.0,,
41313,7,61131.0,3301074.0,203.0,267000000.0,203000000000.0,5.0,8050.0,8852.0,478008.0,295.0,1,TCP,3,7496123.0,8123515.0,255.0,274.0,529.0,1.0,,
11785,3,115877.0,120743834.0,410.0,556000000.0,411000000000.0,2.0,1943.0,5880.0,6126960.0,196.0,0,UDP,1,3952.0,1312.0,0.0,0.0,0.0,1.0,,
14561,6,1183.0,161175.0,527.0,222000000.0,527000000000.0,4.0,5681.0,926.0,255097.0,245.0,1,TCP,3,8899.0,1490.0,0.0,0.0,0.0,0.0,,
25892,10,1000.0,109036.0,531.0,943000000.0,531000000000.0,3.0,15142.0,834.0,271150.0,259.0,1,UDP,2,1614.0,1232.0,0.0,0.0,0.0,1.0,,
33984,2,3.0,79.0,14.0,3000000.0,14000000.0,2.0,2.0,2.0,39.0,1.0,0,TCP,3,38.0,41.0,0.0,0.0,0.0,0.0,,
42935,10,260006.0,147128002.0,1881.0,999000000.0,1880000000000.0,17.0,25224.0,19190.0,14953872.0,639.0,1,UDP,4,1269981973.0,990596183.0,9473.0,9473.0,9572.0,0.0,,
3259,3,1785.0,1890343.0,297.0,920000000.0,297000000000.0,6.0,7386.0,0.0,0.0,0.0,1.0,TCP,3.0,1899.0,6339978.0,0.0,0.0,0.0,1.0,10.0.0.2,10.0.0.5
3787,1,2342.0,2424400.0,284.0,700000000.0,284000000000.0,4.0,5146.0,0.0,0.0,0.0,1.0,ICMP,2.0,3176.0,9745.0,0.0,0.0,0.0,1.0,10.0.0.3,10.0.0.4
11296,4,737.0,769274.0,214.0,720000000.0,214000000000.0,2.0,2183.0,3304.0,3550368.0,330.0,1.0,UDP,2.0,3258.0,837.0,0.0,0.0,0.0,1.0,10.0.0.1,10.0.0.9
42005,7,260006.0,147128002.0,1881.0,999000000.0,1880000000000.0,12.0,8803.0,18898.0,14953872.0,629.0,1.0,TCP,3.0,1269981973.0,990596183.0,20580.0,16577.0,20580.0,1.0,10.0.0.6,10.0.0.7
8923,3,914.0,973242.0,201.0,800000000.0,201000000000.0,3.0,3182.0,0.0,0.0,0.0,1.0,UDP,1.0,2443.0,879.0,0.0,0.0,0.0,1.0,10.0.0.4,10.0.0.11
2488,1,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,ICMP,2.0,856.0,2668.0,0.0,0.0,0.0,0.0,10.0.0.8,10.0.0.7
7147,3,75.0,79100.0,145.0,600000000.0,145000000000.0,2.0,1407.0,0.0,0.0,0.0,1.0,TCP,2.0,2545.0,1820.0,0.0,0.0,0.0,0.0,10.0.0.6,10.0.0.2
6871,4,542.0,561410.0,187.0,800000000.0,187000000000.0,2.0,2445.0,0.0,0.0,0.0,1.0,UDP,3.0,4103.0,3767.0,0.0,0.0,0.0,0.0,10.0.0.10,10.0.0.5
11515,4,34597.0,14782222.0,257.0,428000000.0,257000000000.0,5.0,2385.0,8012.0,663228.0,267.0,1.0,TCP,1.0,6030042.0,105767.0,0.0,0.0,2.0,0.0,10.0.0.9,10.0.0.15
29832,5,91478.0,85599258.0,435.0,728000000.0,436000000000.0,7.0,4357.0,10255.0,9853152.0,341.0,1.0,ICMP,3.0,135758389.0,135559596.0,386.0,148.0,3421.0,1.0,10.0.0.2,10.0.0.4
6492,3,704.0,69776.0,123.0,246000000.0,123000000000.0,3.0,1931.0,29.0,2842.0,0.0,0.0,UDP,3.0,3339.0,4266.0,0.0,0.0,0.0,0.0,10.0.0.7,10.0.0.11
17210,3,49365.0,43129572.0,332.0,472963002.0,333025145387.0,5.0,3251.0,6234.0,5495646.0,207.0,0.0,TCP,2.0,89594012.0,89575803.0,940.0,940.0,1881.0,1.0,10.0.0.5,10.0.0.9
3429,2,124526.0,132744716.0,276.0,434000000.0,276000000000.0,2.0,7916.0,13311.0,14189526.0,443.0,0.0,ICMP,2.0,279386936.0,5053.0,0.0,0.0,0.0,1.0,10.0.0.8,10.0.0.4
24780,1,334.0,32732.0,343.0,200000000.0,343000000000.0,4.0,2997.0,29.0,2842.0,0.0,1.0,TCP,2.0,69355014.0,5591.0,2369.0,0.0,2369.0,0.0,10.0.0.1,10.0.0.9
6282,4,,,,,,,,,,,,,,,,,,,,10.0.0.5,10.0.0.6
